<X> <Y> <dY>
7.088794978869822e-04 8.515164999999999e+04 1.459037782238692e+02
2.380065459117721e-03 3.799676666666667e+04 5.627074925947070e+01
3.791494771157271e-03 9.613951666666668e+03 2.830481653162389e+01
5.128924297185065e-03 4.045000000000000e+03 1.422146265332789e+01
6.528965312380686e-03 2.647425000000000e+03 1.050282700038423e+01
7.962470479974193e-03 2.258536777777778e+03 7.920677541476449e+00
9.417705958423925e-03 2.817858888888890e+03 8.847251438988913e+00
1.082461506033411e-02 2.163757500000000e+03 7.354858088365811e+00
1.220267304892867e-02 1.078295875000000e+03 4.739672709780004e+00
1.358857503129586e-02 5.583574615384615e+02 3.276834370413656e+00
1.496574876361198e-02 4.209879999999999e+02 2.648861390610439e+00
1.640921143536147e-02 4.386642187500001e+02 2.618039040573832e+00
1.780725547013581e-02 4.707016470588237e+02 2.630985185245766e+00
1.920139921258827e-02 3.832457105263159e+02 2.245597185038208e+00
2.063599843469982e-02 2.552344285714286e+02 1.743130833311377e+00
2.204652580793822e-02 1.476713119047620e+02 1.325892834428946e+00
2.341924508070741e-02 8.610831981818181e+01 9.891934261293494e-01
2.482921685211590e-02 5.791462847400004e+01 7.610166126570433e-01
2.625487791749954e-02 4.199310909615383e+01 6.354367751045931e-01
2.765323633659673e-02 2.774391822222222e+01 5.068413279195402e-01
2.906679447910135e-02 1.541716533928572e+01 3.710165251817070e-01
3.044710559276640e-02 9.436667672413797e+00 2.852202366293065e-01
3.182925486156130e-02 7.317728391935482e+00 2.429278465813275e-01
3.323163644045001e-02 5.891462016363636e+00 2.112635510511807e-01
3.466033608770330e-02 4.765711099558824e+00 1.871950677211048e-01
3.608934746446519e-02 5.554856975555555e+00 1.964062006749793e-01
3.751308367591319e-02 3.890655618513512e+00 1.621364044211071e-01
3.893887676116405e-02 1.682820222692307e+00 1.038619714805303e-01
4.034943959554609e-02 1.366568687692308e+00 9.359516916131572e-02
4.175859296542131e-02 1.637200410365853e+00 9.991461020040616e-02
4.318610476546496e-02 2.170710736395348e+00 1.123406037820364e-01
4.460557342724605e-02 2.123696902840909e+00 1.098474381823829e-01
4.600893703995475e-02 2.399712864444445e+00 1.154631462233836e-01
4.742134044406561e-02 3.485255850543479e+00 1.376285140637233e-01
4.882859496138071e-02 4.503368782571355e+00 1.531504023584631e-01
