<X> <Y> <dY>
7.088789786331283e-04 8.147951422816844e+04 7.071067811865476e-01
2.380063566605896e-03 2.790643713965751e+04 4.082482904638631e-01
3.791494769691665e-03 6.380747524652116e+03 4.082482904638631e-01
5.128922356329963e-03 9.999174543755295e+03 3.162277660168379e-01
6.528967044897790e-03 1.034086126951765e+04 2.886751345948129e-01
7.962471933018340e-03 7.042806481854062e+03 2.357022603955159e-01
9.417707171299182e-03 4.652560601907260e+03 2.357022603955159e-01
1.082461512595291e-02 2.345074333288791e+03 2.236067977499790e-01
1.220267221007126e-02 1.118720979045338e+03 2.041241452319315e-01
1.358858141222870e-02 7.964650182421135e+02 1.961161351381840e-01
1.496576638073918e-02 5.409015554227582e+02 1.825741858350554e-01
1.640921109052075e-02 4.017519295381099e+02 1.767766952966369e-01
1.780725206947077e-02 3.878855251326765e+02 1.714985851425088e-01
1.920139456196423e-02 3.735621127145914e+02 1.622214211307625e-01
2.063599229341911e-02 3.090257395907098e+02 1.543033499620919e-01
2.204652286068580e-02 1.800486446797706e+02 1.543033499620919e-01
2.341925084253590e-02 9.883919695404452e+01 1.507556722888818e-01
2.482922165809370e-02 4.461833066444176e+01 1.414213562373095e-01
2.625487987969283e-02 2.244920687209623e+01 1.386750490563073e-01
2.765323152925013e-02 1.908634182998753e+01 1.360827634879543e-01
2.906679120813465e-02 1.319350954489448e+01 1.336306209562122e-01
3.044710163977530e-02 7.834825071243674e+00 1.313064328597226e-01
3.182925234220130e-02 8.390050968844410e+00 1.270001270001905e-01
3.323163841678860e-02 9.819868099538656e+00 1.230914909793327e-01
3.466033943034513e-02 5.963579545926586e+00 1.212678125181665e-01
3.608934765162473e-02 4.830944233873074e+00 1.178511301977579e-01
3.751308365100715e-02 4.335579862114552e+00 1.162476387438193e-01
3.893887725465990e-02 3.354328597536098e+00 1.132277034144596e-01
4.034944157352988e-02 3.243750218760551e+00 1.132277034144596e-01
4.175859703303234e-02 2.630437816756240e+00 1.104315260748465e-01
4.318611187882493e-02 2.502377819851681e+00 1.078327732034384e-01
4.460557817645349e-02 2.364308605247082e+00 1.066003581778052e-01
4.600893648119809e-02 2.348258613385077e+00 1.054092553389460e-01
4.742133686255142e-02 3.216312815919804e+00 1.042572070285374e-01
4.882858981803482e-02 4.309042219773865e+00 1.020620726159658e-01
5.023438089002717e-02 5.095939871015804e+00 1.010152544552211e-01
5.165212577706245e-02 5.233783015271805e+00 9.805806756909202e-02
5.308613785791945e-02 4.393592504874392e+00 9.805806756909202e-02
5.449336698041662e-02 3.392094217816198e+00 9.712858623572643e-02
5.589921152419412e-02 2.724474119513770e+00 9.534625892455924e-02
5.731913538269699e-02 2.269006090321044e+00 9.365858115816940e-02
5.872970394287588e-02 2.110070570011525e+00 9.365858115816940e-02
6.013846254220075e-02 2.124691004955349e+00 9.205746178983233e-02
6.156018817295227e-02 1.894970312218488e+00 9.053574604251853e-02
6.297677635622027e-02 1.590658186597679e+00 8.980265101338746e-02
6.438195071364802e-02 1.617651189285792e+00 8.908708063747479e-02
6.580472241062416e-02 1.890607188925553e+00 8.770580193070293e-02
