<X> <Y> <dY>
2.269993752066971e-03 6.059983666666667e+03 2.247217476989908e+01
3.767845100041122e-03 1.184177500000000e+03 9.933854153012986e+00
5.043775728336200e-03 7.595407500000000e+02 6.889941717823163e+00
6.290749917642352e-03 7.772642583333333e+02 5.690870826498251e+00
7.816466587583152e-03 1.785768888888889e+03 7.043059800826960e+00
9.312627388573538e-03 2.151049388888889e+02 2.444409374748433e+00
1.078555974577683e-02 1.004918000000000e+03 4.779021390885948e+00
1.215271167972377e-02 3.543148109090910e+02 2.837711990115096e+00
1.348715615358538e-02 1.220098720833333e+02 1.594325040595375e+00
1.485681755568153e-02 1.232391700000000e+02 1.433173460076158e+00
1.638222925081682e-02 2.146271388888889e+02 1.726537715941329e+00
1.784158626282271e-02 3.599122941176469e+02 2.300614668881184e+00
1.926278694164598e-02 4.469820000000001e+01 7.668990875769224e-01
2.053461156225367e-02 1.016819441176470e+01 3.866940273151961e-01
2.193917909285362e-02 1.077844347826087e+01 3.422820391561942e-01
2.342233616417206e-02 2.305793250000001e+01 4.900885602368210e-01
2.489309261522594e-02 4.047314420000000e+01 6.361850689854329e-01
2.628144274216838e-02 1.198879800000000e+02 1.094933696622768e+00
2.768889255443040e-02 2.469895666666667e+01 4.782196599993319e-01
2.903666945708383e-02 1.041883481481482e+02 9.821949538139911e-01
3.044925668382787e-02 7.763069166666666e+01 8.043148827141989e-01
3.187547820390070e-02 2.036233943437500e+01 3.988493159465798e-01
3.334237986485958e-02 3.169242941176470e+01 4.827344707022197e-01
3.476317062620370e-02 6.504312117647055e+01 6.915621764849755e-01
3.614048037551112e-02 1.844205651515151e+02 1.182000631798513e+00
3.749005998646607e-02 9.573679324324324e+01 8.042824283897470e-01
3.894526530771557e-02 5.182049307307691e+00 1.822587852215468e-01
4.039402126922959e-02 8.141613258536584e-01 7.045848656035671e-02
4.185752692571021e-02 3.031190583333331e+00 1.343234941894746e-01
4.324672819658673e-02 5.884725341463413e+00 1.894266918738991e-01
4.459590185769291e-02 2.631477658536586e+01 4.005695380190763e-01
4.598766826528920e-02 8.656746930851062e+00 2.145845433108619e-01
4.745221662712550e-02 2.893647623404255e+01 3.923231152721212e-01
4.888672864066949e-02 2.608123428571427e+01 3.647842127421212e-01
5.031714725311343e-02 7.344412208163265e+00 1.935755430264263e-01
5.168415701482924e-02 1.554072653061224e+01 2.815837727472097e-01
5.306281103112125e-02 2.415881352941177e+01 3.441301447370230e-01
5.449275721469200e-02 1.106048765178571e+02 7.026889569140850e-01
5.593810175212904e-02 8.583255185185190e+01 6.303752257505486e-01
5.735014724714403e-02 1.228920563157895e+01 2.321637885198888e-01
5.876842569270740e-02 2.771010031851755e-01 3.486194597448575e-02
6.013332737228611e-02 3.005458058300876e-01 3.630679494122130e-02
6.154874472735911e-02 7.893383620967742e-01 5.641645129035210e-02
6.299084892420267e-02 7.057535207142854e+00 1.673502079228966e-01
6.442037729782138e-02 2.866902540952380e+00 1.066611334307472e-01
6.584064910839584e-02 1.022880612769230e+01 1.983470746685864e-01
6.723834510665293e-02 1.143807585937501e+01 2.113764031903364e-01
6.861390800738924e-02 2.397422270149254e+00 9.458121106029223e-02
7.003990738107449e-02 8.868407971428574e+00 1.779687770712742e-01
7.148567119795489e-02 1.601629430555555e+01 2.358222487497760e-01
7.291357984187533e-02 7.596538295774647e+01 5.171883049808517e-01
7.431984591568946e-02 6.891798222222224e+01 4.891815096492468e-01
7.567620902842487e-02 1.694038920714286e+01 2.459703031374117e-01
7.706954741744575e-02 1.042902721153845e+00 5.781554225963072e-02
7.852097388670776e-02 8.199185344303794e-02 1.610800703509050e-02
7.996973652067473e-02 1.614737168562500e-01 2.246342282858472e-02
8.139492092499975e-02 1.937406336037500e+00 7.780999164707056e-02
8.279695570568034e-02 1.010065768025316e+00 5.653680799539326e-02
8.416025719593348e-02 3.351259102625000e+00 1.023361358255388e-01
8.557962055448312e-02 6.045786319540223e+00 1.318064838848268e-01
8.701895995350449e-02 1.388515439534883e+00 6.353252782371539e-02
8.845923912890789e-02 4.917938920224718e+00 1.175348253462375e-01
8.986881572763597e-02 1.053210605813955e+01 1.749759622871457e-01
9.124079381546657e-02 4.482720347093023e+01 3.609870330038050e-01
9.263920467367488e-02 6.465163333333338e+01 4.168869310276455e-01
9.408380450213430e-02 1.990817696276597e+01 2.301027578198324e-01
9.550588286323304e-02 1.764251356382980e+00 6.849932746181303e-02
9.693284870336490e-02 3.849197369791670e-01 3.166062457348635e-02
9.832857601636198e-02 2.220445073021276e-02 7.684685435327041e-03
9.971395073999745e-02 3.229096687713541e-01 2.899845850659539e-02
1.008475192921574e-01 4.498408900000003e-02 2.120945284537063e-02
