<X> <Y> <dY>
3.544394893165593e-04 4.712263505194968e+04 5.000000000000000e-01
7.925507920221501e-04 4.359792705479282e+04 3.535533905932738e-01
1.308400175638870e-03 3.655443039648578e+04 2.236067977499790e-01
1.826804493600212e-03 2.983375571374015e+04 2.236067977499790e-01
2.298194833798140e-03 2.367436224290572e+04 1.889822365046136e-01
2.765946093994800e-03 1.994189674202823e+04 1.767766952966369e-01
3.271536521594646e-03 1.747317687476853e+04 1.507556722888818e-01
3.806007309723245e-03 1.381634696830021e+04 1.386750490563073e-01
4.306069148786004e-03 1.363967016300680e+04 1.443375672974064e-01
4.784348249405665e-03 1.106597150000573e+04 1.290994448735806e-01
5.258221500526004e-03 9.699286568799986e+03 1.290994448735806e-01
5.739107712416896e-03 7.573332640029063e+03 1.178511301977579e-01
6.257497457708318e-03 6.574810377423169e+03 1.091089451179962e-01
6.772021518361068e-03 5.884273543942983e+03 1.091089451179962e-01
7.278700641656523e-03 5.379902171928878e+03 1.042572070285374e-01
7.789487189551155e-03 4.614871932301747e+03 9.805806756909201e-02
8.286908107970625e-03 4.334664798884088e+03 1.042572070285374e-01
8.767437555970821e-03 3.660305048062854e+03 9.284766908852593e-02
9.259182694909811e-03 3.181453186270213e+03 9.805806756909201e-02
9.757781228868091e-03 2.789114629417654e+03 8.703882797784891e-02
1.027773890935114e-02 2.514621665369908e+03 8.703882797784891e-02
1.077085662629083e-02 2.391718195528091e+03 8.980265101338744e-02
1.125282193065041e-02 2.111556091259752e+03 8.333333333333333e-02
1.176281426591988e-02 1.987628574146878e+03 8.219949365267865e-02
1.227937340627540e-02 1.597496209045301e+03 7.808688094430304e-02
1.279549189355212e-02 1.448106918281965e+03 7.905694150420949e-02
1.328545951942190e-02 1.336429190838210e+03 8.006407690254357e-02
1.376566854265672e-02 1.248643680301386e+03 7.624928516630233e-02
1.426404043192460e-02 1.313783495754393e+03 7.537783614444091e-02
1.477344916229746e-02 1.092935512228152e+03 7.142857142857142e-02
1.526571436225697e-02 1.118376377180039e+03 7.624928516630233e-02
1.574271504172046e-02 9.613797556012431e+02 7.142857142857142e-02
1.625419962270783e-02 8.915697038067026e+02 6.804138174397717e-02
1.676419876823947e-02 8.544970710988721e+02 7.001400420140050e-02
1.726865481275168e-02 7.452525382319093e+02 6.622661785325219e-02
1.776022279694772e-02 7.384428896964248e+02 7.071067811865475e-02
1.823802978714304e-02 6.371270121652765e+02 6.622661785325219e-02
1.875991941100496e-02 5.160840944156828e+02 6.201736729460423e-02
1.927030775638832e-02 5.042227692981514e+02 6.741998624632421e-02
1.975368314234623e-02 4.236927150629980e+02 6.250000000000000e-02
2.025552365625239e-02 3.894534429014483e+02 6.401843996644799e-02
2.076871988891309e-02 3.064344510869698e+02 5.933908290969267e-02
2.128218989035846e-02 2.980164387752348e+02 6.250000000000000e-02
2.176437463185218e-02 2.644782085091431e+02 6.201736729460423e-02
2.224853787729754e-02 2.306433025481432e+02 6.019292654288460e-02
2.275186272431788e-02 2.005833426242720e+02 5.892556509887895e-02
2.326095159198584e-02 1.704673890543824e+02 5.773502691896258e-02
2.376384418308211e-02 1.436934563567225e+02 5.852057359806528e-02
2.426596624725377e-02 1.134794644638698e+02 5.698028822981898e-02
2.476328342794595e-02 9.231795236630114e+01 5.735393346764045e-02
2.525386192822818e-02 7.926553584433684e+01 5.698028822981898e-02
2.575381168079989e-02 6.952124323639343e+01 5.488212999484517e-02
2.626158672048489e-02 6.373579529211741e+01 5.521576303742327e-02
2.676167840342058e-02 5.150890784250074e+01 5.488212999484517e-02
2.725612880146043e-02 4.055727588176016e+01 5.423261445466404e-02
2.774970748468650e-02 3.257629238975090e+01 5.455447255899809e-02
2.824734110705619e-02 2.938103358309717e+01 5.241424183609592e-02
2.874324150394978e-02 3.728400371924491e+01 5.423261445466404e-02
2.925194966323762e-02 4.114564634768656e+01 5.025189076296060e-02
2.976586870631725e-02 4.421511495741498e+01 5.212860351426869e-02
3.026194909467575e-02 3.858026988423276e+01 5.184758473652126e-02
3.076188686779982e-02 3.047101137493243e+01 5.025189076296060e-02
3.126377141457374e-02 3.059456910358672e+01 5.157106231293968e-02
3.176608153113832e-02 3.491709568795351e+01 4.879500364742666e-02
3.227540097845578e-02 4.794794155837728e+01 5.025189076296060e-02
3.276534589604931e-02 5.863369579783105e+01 5.025189076296060e-02
3.325862914083027e-02 6.141968747934258e+01 4.856429311786321e-02
3.376455091921043e-02 6.293229729742598e+01 4.879500364742666e-02
3.426978382919199e-02 5.867491441623019e+01 4.745789978762495e-02
3.477356861848972e-02 6.422958093899285e+01 4.856429311786321e-02
3.526266145659103e-02 6.586628181308186e+01 4.833682445228318e-02
3.576361578054267e-02 6.677976147282945e+01 4.622501635210243e-02
3.627022383922877e-02 7.133755339455190e+01 4.767312946227962e-02
3.676859796800704e-02 6.340406205845983e+01 4.583492485141056e-02
3.726792828779430e-02 6.148093267514683e+01 4.745789978762495e-02
3.775948009833746e-02 5.147720982093989e+01 4.583492485141056e-02
3.825926869594252e-02 4.669009185091316e+01 4.564354645876385e-02
3.876251611052699e-02 4.465746477620165e+01 4.545454545454546e-02
3.925976665200909e-02 4.319771695057072e+01 4.508348173337162e-02
3.975806073752214e-02 4.393090151240701e+01 4.526787302125927e-02
4.025946728083576e-02 4.289875111629176e+01 4.402254531628119e-02
4.075930474793839e-02 4.557433944124065e+01 4.472135954999579e-02
4.126096961651417e-02 4.617009575244322e+01 4.368520283305190e-02
4.175412044065713e-02 4.786211679476712e+01 4.454354031873740e-02
4.225333036515865e-02 4.591838937257883e+01 4.303314829119352e-02
4.276940452138904e-02 4.399022213864799e+01 4.210759605332594e-02
4.327795709254170e-02 4.661383531954738e+01 4.351941398892446e-02
4.376735276737190e-02 4.732653534311436e+01 4.335549847620600e-02
4.425549588865013e-02 4.756996890076016e+01 4.271788288583805e-02
4.475511535644497e-02 4.724984143701556e+01 4.225771273642583e-02
4.525941527550355e-02 4.548152168154421e+01 4.152273992686999e-02
4.576267290566944e-02 4.508920750994534e+01 4.210759605332594e-02
4.625509206395524e-02 4.396152499398615e+01 4.210759605332594e-02
4.675251276721296e-02 4.206963646810850e+01 4.082482904638630e-02
4.726318244417683e-02 4.285189153348110e+01 4.096159602595202e-02
4.776261817418157e-02 4.257544643611503e+01 4.096159602595202e-02
4.825941791748099e-02 4.118189768471332e+01 4.109974682633932e-02
4.876260340367502e-02 3.465834202462412e+01 3.990434422338111e-02
4.926877524303250e-02 3.039608944347464e+01 4.016096644512494e-02
4.977242677576470e-02 2.743795935381120e+01 4.016096644512494e-02
5.026437271244841e-02 2.709505107675762e+01 4.029114820126901e-02
5.074967987537179e-02 2.869368211010009e+01 4.068942293855797e-02
5.124732479327775e-02 2.701591266401309e+01 3.869116162670684e-02
5.175683991648795e-02 2.663864604814553e+01 3.928371006591930e-02
5.226195719467086e-02 2.372017391573575e+01 3.892494720807615e-02
5.275924379164055e-02 2.114620130020975e+01 3.916302249939786e-02
5.325780814256039e-02 1.946895632959707e+01 3.880752628531665e-02
5.375950824701462e-02 1.921058524593603e+01 3.823595564509363e-02
5.425452241308167e-02 2.132640567238444e+01 3.916302249939786e-02
5.474689791691627e-02 2.033072308161319e+01 3.823595564509363e-02
5.525190848043684e-02 1.789483607107263e+01 3.747658444979307e-02
5.575943609531702e-02 1.447041530457076e+01 3.801429606348528e-02
5.626214265933148e-02 9.826107683796350e+00 3.716470731235831e-02
5.676351423462477e-02 6.452664329403189e+00 3.812464258315117e-02
5.725475062807629e-02 4.063099760325779e+00 3.758230140014144e-02
5.775775583469896e-02 2.928714648081583e+00 3.656362120635653e-02
5.826529456444422e-02 2.644489141616186e+00 3.737175463759679e-02
5.875873536509331e-02 2.558026443939286e+00 3.686048903872428e-02
5.925251492526010e-02 2.556994168405622e+00 3.737175463759679e-02
5.975289160215890e-02 2.708535383530482e+00 3.599078753743472e-02
6.026083731724144e-02 3.022397208520679e+00 3.627381250550058e-02
6.076197060182056e-02 3.408683017461411e+00 3.656362120635653e-02
6.125037827413798e-02 3.745304931341130e+00 3.656362120635653e-02
6.175020513213268e-02 4.080133617118291e+00 3.571428571428571e-02
6.225573713333846e-02 4.832700755543467e+00 3.562352499395482e-02
6.275644026400622e-02 5.777009890872572e+00 3.580574370197164e-02
6.325384091310514e-02 6.615333209202100e+00 3.580574370197164e-02
6.374221026615426e-02 7.186439404155738e+00 3.589790793088690e-02
6.424240909710716e-02 7.365623387329964e+00 3.492151478847891e-02
6.475398695511611e-02 7.813334034922584e+00 3.458572319330373e-02
6.525729668290645e-02 9.280464491558257e+00 3.535533905932738e-02
6.575805542978966e-02 1.033361164170044e+01 3.458572319330373e-02
6.626038316348533e-02 1.145634788789116e+01 3.475240234284580e-02
6.676210932863551e-02 1.171154577935020e+01 3.458572319330373e-02
6.725830312358522e-02 1.152195039967242e+01 3.466876226407682e-02
6.775123234084300e-02 1.130565861078867e+01 3.475240234284580e-02
6.825735714217326e-02 1.114792478124586e+01 3.348247650912125e-02
6.876308494316796e-02 1.339685274219286e+01 3.434014098717225e-02
6.926233725285055e-02 1.543832569635871e+01 3.394221166510653e-02
6.975310886386203e-02 1.739787331400372e+01 3.442141954107571e-02
7.024009885636356e-02 1.886220308218812e+01 3.417929635123316e-02
7.074911103742766e-02 1.777816015463920e+01 3.261640365267211e-02
7.125938426956620e-02 1.896985251634419e+01 3.378686891997430e-02
7.175779572743052e-02 1.934187707040743e+01 3.333333333333333e-02
7.225053830853552e-02 2.152461180696374e+01 3.370999312316211e-02
7.274507715949169e-02 2.283847214392520e+01 3.318616557999860e-02
7.325205482177775e-02 2.310045595235664e+01 3.247849012308154e-02
7.375351408533329e-02 2.398605662181187e+01 3.340765523905305e-02
7.424727738138250e-02 2.138967519352526e+01 3.289758474798845e-02
7.474602514038496e-02 1.846120772867634e+01 3.261640365267211e-02
7.525221303133965e-02 1.558715347734886e+01 3.234231136765755e-02
7.575591763595226e-02 1.349042732321340e+01 3.241018617760822e-02
7.625010175185624e-02 1.227384761227549e+01 3.289758474798845e-02
7.674528625017345e-02 1.059134575775164e+01 3.220783132004154e-02
7.724517237055305e-02 9.514302695919829e+00 3.214121732666125e-02
7.775697821339478e-02 8.169110189765714e+00 3.143473067309657e-02
7.826588958814457e-02 7.328219873951828e+00 3.194382824999700e-02
7.875758816563180e-02 6.668136842955859e+00 3.254722774520596e-02
7.925811979037629e-02 5.380956453762804e+00 3.106848830006000e-02
7.976038937393520e-02 5.005984018496265e+00 3.220783132004154e-02
8.025548683890778e-02 4.155907028696042e+00 3.143473067309657e-02
8.075422471587033e-02 3.621633273885289e+00 3.162277660168379e-02
8.125015463791256e-02 3.175917130145517e+00 3.155972015489016e-02
8.175302611861865e-02 2.656077098991466e+00 3.083132079891037e-02
8.225305853610804e-02 2.365535281025412e+00 3.162277660168379e-02
8.275194665478484e-02 1.912954856001916e+00 3.083132079891037e-02
8.325003361322873e-02 1.691582266132622e+00 3.131121455425747e-02
8.374433168523461e-02 1.703880982501216e+00 3.100868364730211e-02
8.424846933468839e-02 1.783416067404519e+00 3.037283696153936e-02
8.474846126987408e-02 2.005560544019811e+00 3.118914307759027e-02
8.524666240682006e-02 1.823572681019638e+00 3.037283696153936e-02
8.575145445909457e-02 1.416620633779802e+00 3.042903097250923e-02
