<X> <Y> <dY>
7.088789786331283e-04 1.703033750205206e+05 1.000000000000000e+00
2.380063566605896e-03 7.599353211569642e+04 5.773502691896258e-01
3.791494769691666e-03 1.922792215003306e+04 5.773502691896258e-01
5.128922356329964e-03 8.090000488805208e+03 4.472135954999579e-01
6.528967044897790e-03 5.294849844636080e+03 4.082482904638631e-01
7.962471933018338e-03 4.517071764612486e+03 3.333333333333334e-01
9.417707171299177e-03 5.635715032241122e+03 3.333333333333334e-01
1.082461512595292e-02 4.327514923316494e+03 3.162277660168379e-01
1.220267221007126e-02 2.156591054659624e+03 2.886751345948129e-01
1.358858141222870e-02 1.116714922492150e+03 2.773500981126145e-01
1.496576638073918e-02 8.419761224053412e+02 2.581988897471612e-01
1.640921109052075e-02 8.773283052500134e+02 2.500000000000000e-01
1.780725206947077e-02 9.414032287326618e+02 2.425356250363329e-01
1.920139456196423e-02 7.664915334004550e+02 2.294157338705617e-01
2.063599229341912e-02 5.104688751461516e+02 2.182178902359924e-01
2.204652286068581e-02 2.953427110753532e+02 2.182178902359924e-01
2.341925084253590e-02 1.722165239005213e+02 2.132007163556104e-01
2.482922165809370e-02 1.158293029571059e+02 2.000000000000000e-01
2.625487987969282e-02 8.398625966397570e+01 1.961161351381840e-01
2.765323152925012e-02 5.548785081215864e+01 1.924500897298752e-01
2.906679120813465e-02 3.083432311947484e+01 1.889822365046136e-01
3.044710163977530e-02 1.887333014375253e+01 1.856953381770519e-01
3.182925234220130e-02 1.463545902655920e+01 1.796053020267749e-01
3.323163841678860e-02 1.178292783247574e+01 1.740776559556978e-01
3.466033943034513e-02 9.531419938350753e+00 1.714985851425088e-01
3.608934765162474e-02 1.110971101644041e+01 1.666666666666666e-01
3.751308365100714e-02 7.781311093158152e+00 1.643989873053573e-01
3.893887725465989e-02 3.365641114988454e+00 1.601281538050872e-01
4.034944157352989e-02 2.733137240109238e+00 1.601281538050872e-01
4.175859703303234e-02 3.274401285803378e+00 1.561737618886060e-01
4.318611187882493e-02 4.341421050312852e+00 1.524985703326046e-01
4.460557817645350e-02 4.247393245567344e+00 1.507556722888818e-01
4.600893648119810e-02 4.799425913868074e+00 1.490711984999860e-01
4.742133686255142e-02 6.970514050158914e+00 1.474419561548972e-01
4.882858981803483e-02 9.006737626730116e+00 1.443375672974065e-01
5.023438089002717e-02 9.936966739034826e+00 1.428571428571429e-01
5.165212577706245e-02 9.486132675578638e+00 1.386750490563073e-01
5.308613785791945e-02 7.532526394571648e+00 1.386750490563073e-01
5.449336698041662e-02 5.927116733939146e+00 1.373605639486890e-01
5.589921152419412e-02 5.810971287216628e+00 1.348399724926484e-01
5.731913538269697e-02 6.037149800050204e+00 1.324532357065044e-01
5.872970394287587e-02 5.963065974951904e+00 1.324532357065044e-01
6.013846254220074e-02 5.146791578127150e+00 1.301889109808239e-01
6.156018817295227e-02 4.209634846861288e+00 1.280368799328960e-01
6.297677635622026e-02 3.517644131979258e+00 1.270001270001905e-01
6.438195071364802e-02 3.325616038486842e+00 1.259881576697424e-01
6.580472241062416e-02 3.397327404637482e+00 1.240347345892085e-01
6.722252316074896e-02 3.553549785660526e+00 1.230914909793327e-01
6.863950441564909e-02 3.726222528103556e+00 1.212678125181665e-01
7.005342879968592e-02 3.941965085939230e+00 1.203858530857692e-01
7.147125803503675e-02 3.880203129729534e+00 1.195228609334394e-01
7.287892665822651e-02 3.260793739172276e+00 1.186781658193854e-01
7.428512578149309e-02 2.197409764715774e+00 1.170411471961306e-01
7.570200605228794e-02 1.213866479005667e+00 1.154700538379252e-01
7.711258039470907e-02 6.065997349399724e-01 1.154700538379252e-01
7.852106269828134e-02 4.342931499970988e-01 1.139605764596379e-01
7.993957100118616e-02 6.339042676880630e-01 1.125087900926024e-01
8.136317828803380e-02 1.025468401029059e+00 1.111111111111111e-01
8.277793546167261e-02 1.228610880254498e+00 1.111111111111111e-01
8.418884259413877e-02 1.157903873127157e+00 1.104315260748465e-01
8.560445010849739e-02 1.102997548186323e+00 1.084652289093281e-01
8.702789928790761e-02 1.074556299744303e+00 1.078327732034384e-01
8.844066318391593e-02 1.353138969964171e+00 1.072112534837795e-01
8.985665506386348e-02 1.694959114043716e+00 1.066003581778052e-01
9.126458219559437e-02 1.703020566144969e+00 1.059997880006360e-01
9.267099327320792e-02 1.468931095420569e+00 1.048284836721918e-01
9.408600896475444e-02 1.248678993100442e+00 1.036951694730425e-01
9.550400896062225e-02 9.651168260153974e-01 1.031421246258793e-01
9.692680469286558e-02 8.298441988239836e-01 1.020620726159658e-01
9.835026600321069e-02 7.905922754204954e-01 1.015346165133619e-01
9.976385632812827e-02 8.817909444891509e-01 1.010152544552211e-01
1.011702435841926e-01 1.068544386036649e+00 1.005037815259212e-01
1.025874194941607e-01 1.212506713674481e+00 9.950371902099893e-02
1.040016445875811e-01 1.248378396397078e+00 9.901475429766744e-02
1.054022230228816e-01 1.141228839939012e+00 9.901475429766744e-02
1.068004849861523e-01 8.654772811708588e-01 9.759000729485333e-02
1.082155197824179e-01 6.039674267798312e-01 9.712858623572643e-02
1.096303689902771e-01 4.360221404703322e-01 9.622504486493763e-02
1.110437711930305e-01 3.774180247905330e-01 9.578262852211515e-02
1.124577642520551e-01 4.461301730196570e-01 9.491579957524991e-02
1.138806592794483e-01 6.567136480918708e-01 9.407208683835974e-02
1.153015639173885e-01 9.490295409571540e-01 9.407208683835974e-02
1.167164005045841e-01 1.174006746305289e+00 9.325048082403138e-02
1.181234880961771e-01 1.259721308633543e+00 9.325048082403138e-02
