<X> <Y> <dY>
2.269993752066971e-03 1.229580333333334e+04 3.201015897770234e+01
3.767845100041122e-03 2.449204500000000e+03 1.428637025279689e+01
5.043775728336200e-03 1.617091375000000e+03 1.005326866931845e+01
6.290749917642352e-03 1.566857916666667e+03 8.079959562261298e+00
7.816466587583152e-03 3.583076111111111e+03 9.976466908445524e+00
9.312627388573538e-03 4.372839499999999e+02 3.485222573794806e+00
1.078555974577683e-02 2.015712272727273e+03 6.768429844652560e+00
1.215271167972377e-02 7.111175272727272e+02 4.020169397360150e+00
1.348715615358538e-02 2.574322791666665e+02 2.315852431101534e+00
1.485681755568153e-02 2.615327933333333e+02 2.087793066587033e+00
1.638222925081682e-02 4.354715472222223e+02 2.459312085450315e+00
1.784158626282271e-02 7.201651764705884e+02 3.254330093869028e+00
1.926278694164598e-02 8.941174368421055e+01 1.084652161586538e+00
2.053461156225367e-02 2.055212794117647e+01 5.497610168114290e-01
2.193917909285362e-02 2.336752043478261e+01 5.039789552497144e-01
2.342233616417206e-02 4.825017083333335e+01 7.089470686733641e-01
2.489309261522594e-02 8.164345299999998e+01 9.035676676375709e-01
2.628144274216838e-02 2.404724600000000e+02 1.550717446861291e+00
2.768889255443040e-02 5.063574722222220e+01 6.847258658155629e-01
2.903666945708383e-02 2.094681703703703e+02 1.392666541574812e+00
3.044925668382787e-02 1.555625066666667e+02 1.138575523284346e+00
3.187547820390070e-02 4.211318170312499e+01 5.735932636072918e-01
3.334237986485958e-02 6.672630735294122e+01 7.004531482470999e-01
3.476317062620370e-02 1.321902985294119e+02 9.858942586235361e-01
3.614048037551112e-02 3.691840606060606e+02 1.672378229942410e+00
3.749005998646607e-02 1.915073878378378e+02 1.137527510323222e+00
3.894526530771557e-02 1.038316565564103e+01 2.579898335261044e-01
4.039402126922959e-02 1.693241880000000e+00 1.016102633091564e-01
4.185752692571021e-02 6.313006904761905e+00 1.938489671165524e-01
4.324672819658673e-02 1.193568021951220e+01 2.697749764597430e-01
4.459590185769291e-02 5.281944646341461e+01 5.675119342433476e-01
4.598766826528920e-02 1.772946759574469e+01 3.070922967134956e-01
4.745221662712550e-02 5.832860648936168e+01 5.570085682969151e-01
4.888672864066949e-02 5.233046040816323e+01 5.167128263741944e-01
5.031714725311343e-02 1.500889853061225e+01 2.767237122316897e-01
5.168415701482924e-02 3.217091265306123e+01 4.051386299211593e-01
5.306281103112125e-02 4.921222441176471e+01 4.911582170495747e-01
5.449275721469200e-02 2.214336332142857e+02 9.942550001991030e-01
5.593810175212904e-02 1.716991824074075e+02 8.915736774134351e-01
5.735014724714403e-02 2.462646513157897e+01 3.286499839960585e-01
5.876842569270740e-02 5.665082044622807e-01 4.984661580579674e-02
6.013332737228611e-02 6.157982704754383e-01 5.196989135401780e-02
6.154874472735911e-02 1.605048062096775e+00 8.044854251212824e-02
6.299084892420267e-02 1.415871344444445e+01 2.370345350603736e-01
6.442037729782138e-02 5.888719238095242e+00 1.528657367905082e-01
6.584064910839584e-02 2.070683417692308e+01 2.822085574734448e-01
6.723834510665293e-02 2.299045657812499e+01 2.996772780981247e-01
6.861390800738924e-02 4.893045223880599e+00 1.351208031074057e-01
7.003990738107449e-02 1.810212607857144e+01 2.542645281603635e-01
7.148567119795489e-02 3.240306340277779e+01 3.354260526780838e-01
7.291357984187533e-02 1.520623810563380e+02 7.317314529336959e-01
7.431984591568946e-02 1.378721497222222e+02 6.918979275088556e-01
7.567620902842487e-02 3.392921764285713e+01 3.481031130224467e-01
7.706954741744575e-02 2.114786192307693e+00 8.232958686147446e-02
7.852097388670776e-02 1.679843245000000e-01 2.305636492614556e-02
7.996973652067473e-02 3.247318145562498e-01 3.185572037308654e-02
8.139492092499975e-02 3.883255948812499e+00 1.101597696077795e-01
8.279695570568034e-02 2.074019963924049e+00 8.101453151265732e-02
8.416025719593348e-02 6.811152950000005e+00 1.458932930903611e-01
8.557962055448312e-02 1.216192348850574e+01 1.869439916163482e-01
8.701895995350449e-02 2.819007916860465e+00 9.052508191650380e-02
8.845923912890789e-02 9.991780011235956e+00 1.675314829647570e-01
8.986881572763597e-02 2.125587918604650e+01 2.485766410406766e-01
9.124079381546657e-02 8.975318610465115e+01 5.107939160980904e-01
9.263920467367488e-02 1.293371939784946e+02 5.896444937201124e-01
9.408380450213430e-02 3.985222388297870e+01 3.255609883502347e-01
9.550588286323304e-02 3.562846553191488e+00 9.734297985254563e-02
9.693284870336490e-02 7.845547604166664e-01 4.520078932111402e-02
9.832857601636198e-02 4.595078014361699e-02 1.105484154832424e-02
9.971395073999745e-02 6.468647988718750e-01 4.104319367522676e-02
1.008475192921574e-01 9.691962799999999e-02 3.113191738393252e-02
