<X> <Y> <dY>
2.269992812630755e-03 1.617988358154080e+02 4.082482904638631e-01
3.767843571821604e-03 5.443230983569534e+01 4.082482904638631e-01
5.043777013116342e-03 1.243384965912168e+02 3.535533905932738e-01
6.290750713992310e-03 7.973517223743364e+01 2.886751345948129e-01
7.816466947272453e-03 9.982584969980917e+01 2.357022603955159e-01
9.312627128331329e-03 6.787459885527358e+01 2.357022603955159e-01
1.078556990029501e-02 6.404216680213601e+01 2.132007163556104e-01
1.215272119642525e-02 4.942898008799705e+01 2.132007163556104e-01
1.348713581623936e-02 4.303445164530859e+01 2.041241452319315e-01
1.485681822547058e-02 2.592752475937480e+01 1.825741858350554e-01
1.638222277385973e-02 1.494779602035651e+01 1.666666666666667e-01
1.784160455912910e-02 8.623044104434056e+00 1.714985851425088e-01
1.926280261237906e-02 5.489203575307273e+00 1.622214211307625e-01
2.053459356393592e-02 4.090819304520012e+00 1.714985851425088e-01
2.193915788894892e-02 3.162594935322357e+00 1.474419561548972e-01
2.342234004612977e-02 2.004929763297134e+00 1.443375672974065e-01
2.489309037555303e-02 1.257092900484977e+00 1.414213562373095e-01
2.628145912225181e-02 6.576417012604022e-01 1.414213562373095e-01
2.768891548716751e-02 1.501089937581870e-01 1.360827634879543e-01
2.903665651849886e-02 2.082139099715148e-02 1.360827634879543e-01
3.044923950710977e-02 2.087709308837950e-01 1.290994448735806e-01
3.187548114571302e-02 6.640329669050509e-01 1.250000000000000e-01
3.334238420898941e-02 1.628916542265740e+00 1.212678125181665e-01
3.476318676579260e-02 2.824453561578750e+00 1.212678125181665e-01
3.614047250508559e-02 4.255700798950215e+00 1.230914909793327e-01
3.749004934073409e-02 4.872413884730235e+00 1.162476387438193e-01
3.894525314166401e-02 5.403205241371092e+00 1.132277034144596e-01
4.039402554148166e-02 5.874908926735808e+00 1.104315260748465e-01
4.185753593594993e-02 5.571244285467151e+00 1.091089451179962e-01
4.324674526630498e-02 4.730890496320604e+00 1.104315260748465e-01
4.459590168614790e-02 3.531463984818421e+00 1.104315260748465e-01
4.598765916368585e-02 2.185831857256157e+00 1.031421246258794e-01
4.745220914204296e-02 1.323170231466453e+00 1.031421246258794e-01
4.888673424511365e-02 7.925503050238292e-01 1.010152544552211e-01
5.031715956318931e-02 4.100186006370765e-01 1.010152544552211e-01
5.168417159913285e-02 2.413422965814499e-01 1.010152544552211e-01
5.306278768878879e-02 1.223412213216009e-01 9.901475429766744e-02
5.449274885567782e-02 5.140542856534504e-02 9.449111825230681e-02
5.593809790659401e-02 1.551244669188324e-02 9.622504486493763e-02
5.735015516029470e-02 1.533567415266505e-03 9.365858115816940e-02
5.876844058517575e-02 1.882274389273718e-02 9.365858115816940e-02
6.013334871429075e-02 8.575241354898350e-02 9.365858115816940e-02
6.154872430309019e-02 1.827964152675270e-01 8.980265101338746e-02
6.299084377914281e-02 2.872169946833430e-01 8.908708063747479e-02
6.442037626119958e-02 3.982300348210134e-01 8.908708063747479e-02
6.584065978191483e-02 5.595174498326901e-01 8.770580193070293e-02
6.723836410823142e-02 6.558542857973994e-01 8.838834764831845e-02
6.861389821098202e-02 7.070949069439418e-01 8.638684255813603e-02
7.003989077671467e-02 5.880894996455008e-01 8.451542547285167e-02
7.148566895727160e-02 5.409836704560277e-01 8.333333333333334e-02
7.291358205643322e-02 4.014735832166826e-01 8.391813582966892e-02
7.431985897658212e-02 3.164533978458791e-01 8.333333333333334e-02
7.567623175636934e-02 2.096291782270382e-01 8.451542547285167e-02
7.706954341705917e-02 1.359515146461882e-01 8.006407690254358e-02
7.852095903644259e-02 8.032969419695152e-02 7.955572841757301e-02
7.996973675271538e-02 5.965338852992248e-02 7.905694150420949e-02
8.139492531157294e-02 3.882173617805117e-02 7.905694150420949e-02
8.279697011787157e-02 2.984868503329465e-02 7.955572841757301e-02
8.416026241446037e-02 1.461681164113929e-02 7.905694150420949e-02
8.557960635285618e-02 2.684807992785984e-03 7.580980435789034e-02
8.701894815409800e-02 3.976801359223276e-03 7.624928516630235e-02
8.845924109440576e-02 2.044600439659387e-02 7.495316889958614e-02
8.986882385723920e-02 5.549595187278474e-02 7.624928516630235e-02
9.124080854068370e-02 1.090594060037892e-01 7.624928516630235e-02
9.263921625742114e-02 1.488152292960943e-01 7.332355751067665e-02
9.408379292232692e-02 1.825081780571758e-01 7.293249574894728e-02
9.550587462990150e-02 1.915029061980340e-01 7.293249574894728e-02
9.693285245854412e-02 1.895462992658948e-01 7.216878364870323e-02
9.832858820327600e-02 1.829761675950700e-01 7.293249574894728e-02
9.971396750442035e-02 1.519253884114639e-01 7.216878364870323e-02
1.008475340474474e-01 1.479505390764834e-01 1.414213562373095e-01
