<X> <Y> <dY>
2.269992812630755e-03 1.229580438173263e+04 4.082482904638631e-01
3.767843571821604e-03 2.449204669574172e+03 4.082482904638631e-01
5.043777013116344e-03 1.617091437321887e+03 3.535533905932738e-01
6.290750713992310e-03 1.566857918848107e+03 2.886751345948129e-01
7.816466947272451e-03 3.583075207120453e+03 2.357022603955159e-01
9.312627128331329e-03 4.372839414916945e+02 2.357022603955159e-01
1.078556990029501e-02 2.015711617103829e+03 2.132007163556104e-01
1.215272119642525e-02 7.111177188121713e+02 2.132007163556104e-01
1.348713581623936e-02 2.574322446385872e+02 2.041241452319315e-01
1.485681822547058e-02 2.615327532795801e+02 1.825741858350554e-01
1.638222277385974e-02 4.354715495665571e+02 1.666666666666667e-01
1.784160455912910e-02 7.201651039017344e+02 1.714985851425088e-01
1.926280261237906e-02 8.941173081070335e+01 1.622214211307625e-01
2.053459356393594e-02 2.055213420605510e+01 1.714985851425088e-01
2.193915788894891e-02 2.336751770229941e+01 1.474419561548972e-01
2.342234004612976e-02 4.825016831746863e+01 1.443375672974065e-01
2.489309037555303e-02 8.164344978556454e+01 1.414213562373095e-01
2.628145912225180e-02 2.404724966944488e+02 1.414213562373095e-01
2.768891548716750e-02 5.063574826027015e+01 1.360827634879543e-01
2.903665651849886e-02 2.094681879404304e+02 1.360827634879543e-01
3.044923950710976e-02 1.555625923249782e+02 1.290994448735806e-01
3.187548114571301e-02 4.211317224533079e+01 1.250000000000000e-01
3.334238420898943e-02 6.672629074485616e+01 1.212678125181665e-01
3.476318676579256e-02 1.321902909026951e+02 1.212678125181665e-01
3.614047250508564e-02 3.691840387137416e+02 1.230914909793327e-01
3.749004934073408e-02 1.915074098292168e+02 1.162476387438193e-01
3.894525314166403e-02 1.038316767809497e+01 1.132277034144596e-01
4.039402554148167e-02 1.693241869910990e+00 1.104315260748465e-01
4.185753593594995e-02 6.313006563787561e+00 1.091089451179962e-01
4.324674526630501e-02 1.193568313209701e+01 1.104315260748465e-01
4.459590168614791e-02 5.281944474814178e+01 1.104315260748465e-01
4.598765916368584e-02 1.772946901308056e+01 1.031421246258794e-01
4.745220914204294e-02 5.832861477098239e+01 1.031421246258794e-01
4.888673424511368e-02 5.233044064199199e+01 1.010152544552211e-01
5.031715956318934e-02 1.500889897788152e+01 1.010152544552211e-01
5.168417159913290e-02 3.217091193440902e+01 1.010152544552211e-01
5.306278768878882e-02 4.921220850297347e+01 9.901475429766744e-02
5.449274885567779e-02 2.214336440799240e+02 9.449111825230681e-02
5.593809790659399e-02 1.716991425856073e+02 9.622504486493763e-02
5.735015516029471e-02 2.462646397294781e+01 9.365858115816940e-02
5.876844058517571e-02 5.665081561032338e-01 9.365858115816940e-02
6.013334871429077e-02 6.157982936572280e-01 9.365858115816940e-02
6.154872430309020e-02 1.605048167057305e+00 8.980265101338746e-02
6.299084377914281e-02 1.415871420927964e+01 8.908708063747479e-02
6.442037626119958e-02 5.888721825990670e+00 8.908708063747479e-02
6.584065978191486e-02 2.070683702173985e+01 8.770580193070293e-02
6.723836410823140e-02 2.299045407025471e+01 8.838834764831845e-02
6.861389821098207e-02 4.893046226756804e+00 8.638684255813603e-02
7.003989077671474e-02 1.810212129335748e+01 8.451542547285167e-02
7.148566895727164e-02 3.240307334909449e+01 8.333333333333334e-02
7.291358205643321e-02 1.520623719940332e+02 8.391813582966892e-02
7.431985897658208e-02 1.378721256854597e+02 8.333333333333334e-02
7.567623175636934e-02 3.392922191240083e+01 8.451542547285167e-02
7.706954341705911e-02 2.114786208455370e+00 8.006407690254358e-02
7.852095903644252e-02 1.679843056075509e-01 7.955572841757301e-02
7.996973675271533e-02 3.247317654912282e-01 7.905694150420949e-02
8.139492531157298e-02 3.883254952726157e+00 7.905694150420949e-02
8.279697011787154e-02 2.074019827108078e+00 7.955572841757301e-02
8.416026241446038e-02 6.811152102053839e+00 7.905694150420949e-02
8.557960635285616e-02 1.216192661559547e+01 7.580980435789034e-02
8.701894815409798e-02 2.819007414482034e+00 7.624928516630235e-02
8.845924109440576e-02 9.991781260189603e+00 7.495316889958614e-02
8.986882385723918e-02 2.125587431918032e+01 7.624928516630235e-02
9.124080854068371e-02 8.975321073155554e+01 7.624928516630235e-02
9.263921625742111e-02 1.293372250228915e+02 7.332355751067665e-02
9.408379292232705e-02 3.985223027584620e+01 7.293249574894728e-02
9.550587462990143e-02 3.562846873143671e+00 7.293249574894728e-02
9.693285245854406e-02 7.845547731439736e-01 7.216878364870323e-02
9.832858820327595e-02 4.595078323069408e-02 7.293249574894728e-02
9.971396750442062e-02 6.468648172545634e-01 7.216878364870323e-02
1.008475340474474e-01 9.691962265216328e-02 1.414213562373095e-01
