<X> <Y> <dY>
1.332230167452915e+00 4.736674267570314e+08 7.071067811865476e-01
1.706087055011397e+00 4.485263761863561e+08 7.071067811865476e-01
2.081010046716440e+00 4.177277650148435e+08 7.071067811865476e-01
2.456511051235781e+00 3.827693592666475e+08 7.071067811865476e-01
2.832360187229678e+00 3.449748649133455e+08 7.071067811865476e-01
3.208435112420915e+00 3.056077968460151e+08 7.071067811865476e-01
3.604361315054009e+00 2.626847817324747e+08 5.000000000000000e-01
3.978847776840041e+00 2.242781841143371e+08 5.000000000000000e-01
4.353733524544044e+00 1.874958514219441e+08 5.000000000000000e-01
4.728924146344096e+00 1.531871070149046e+08 5.000000000000000e-01
5.104352743667557e+00 1.220112936725418e+08 5.000000000000000e-01
5.479970612370756e+00 9.442876050608841e+07 5.000000000000000e-01
5.544382800124874e+00 8.925654569629370e+07 7.071067811865476e-01
5.855741463502716e+00 7.070124116154322e+07 5.000000000000000e-01
5.916062031460829e+00 6.671604582917057e+07 7.071067811865476e-01
6.231637711376826e+00 5.090182610483789e+07 5.000000000000000e-01
6.288352188047024e+00 4.790577984280390e+07 7.071067811865476e-01
6.607638016136299e+00 3.493366695663990e+07 5.000000000000000e-01
6.661150837264579e+00 3.274879212073401e+07 7.071067811865476e-01
6.973560052266166e+00 2.287111425666371e+07 7.071067811865476e-01
7.014134154293416e+00 2.163170035574161e+07 5.000000000000000e-01
7.350241149005945e+00 1.362476750054670e+07 7.071067811865476e-01
7.388749798120157e+00 1.279793136131571e+07 5.000000000000000e-01
7.772625788525296e+00 6.582730569724093e+06 3.535533905932738e-01
8.147227829806772e+00 2.789704574578653e+06 3.535533905932738e-01
8.522023519064966e+00 7.605624435273681e+05 3.535533905932738e-01
8.896988567523895e+00 3.297433064486676e+04 3.535533905932738e-01
9.272102570629780e+00 1.836536771723690e+05 3.535533905932738e-01
9.647348264074010e+00 8.459367078990384e+05 3.535533905932738e-01
1.002271094396667e+01 1.721002341816647e+06 3.535533905932738e-01
1.012845453474220e+01 1.957073492635209e+06 7.071067811865476e-01
1.039817801053062e+01 2.582819936122849e+06 3.535533905932738e-01
1.050013752522934e+01 2.771915626895652e+06 7.071067811865476e-01
1.077373860575449e+01 3.277352933557134e+06 3.535533905932738e-01
1.087217360007511e+01 3.395535568446757e+06 7.071067811865476e-01
1.114938332324008e+01 3.716903134403218e+06 3.535533905932738e-01
1.124452771292163e+01 3.758215734730781e+06 7.071067811865476e-01
1.152510397404265e+01 3.870731785451616e+06 3.535533905932738e-01
1.161716928249762e+01 3.841835222685488e+06 7.071067811865476e-01
1.190089339631933e+01 3.753229412963583e+06 3.535533905932738e-01
1.201960388162952e+01 3.637551730466887e+06 5.000000000000000e-01
1.227674529953323e+01 3.410926434046622e+06 3.535533905932738e-01
1.239185602100990e+01 3.246673446338088e+06 5.000000000000000e-01
1.263957348951279e+01 2.931389310985194e+06 4.082482904638631e-01
1.274021572991877e+01 2.762410418431386e+06 4.082482904638631e-01
1.301591117235747e+01 2.344436779004908e+06 4.082482904638631e-01
1.311366866172006e+01 2.173692941806928e+06 4.082482904638631e-01
