<X> <Y> <dY>
7.215375318230078e-01 5.045084200728923e+08 7.071067811865476e-01
9.240188916466751e-01 4.976885093135291e+08 7.071067811865476e-01
1.127077654815027e+00 4.881537206164517e+08 7.071067811865476e-01
1.330449470449520e+00 4.764430265615155e+08 7.071067811865476e-01
1.534009834527848e+00 4.628522325615115e+08 7.071067811865476e-01
1.737692486319020e+00 4.476011435818334e+08 7.071067811865476e-01
1.952126614903663e+00 4.281394493216066e+08 5.000000000000000e-01
2.154948952919646e+00 4.105653673789716e+08 5.000000000000000e-01
2.357987544690259e+00 3.918145144060316e+08 5.000000000000000e-01
2.561191256654181e+00 3.721058346866474e+08 5.000000000000000e-01
2.756991037980877e+00 3.531827374830487e+08 7.071067811865476e-01
2.772056674940026e+00 3.501177241654799e+08 7.071067811865476e-01
2.960942475213655e+00 3.320070230636443e+08 7.071067811865476e-01
2.988910072109736e+00 3.266645199317412e+08 5.000000000000000e-01
3.171476930782477e+00 3.093118754207099e+08 5.000000000000000e-01
3.204146626144405e+00 3.034137845068260e+08 7.071067811865476e-01
3.375062810714292e+00 2.878203462478118e+08 5.000000000000000e-01
3.405779442505844e+00 2.825527567470633e+08 7.071067811865476e-01
3.578705047985907e+00 2.663621412381882e+08 5.000000000000000e-01
3.607687659115038e+00 2.616503181431866e+08 7.071067811865476e-01
3.791538872053524e+00 2.437060469081092e+08 4.082482904638631e-01
3.994804059188885e+00 2.229747307299864e+08 4.082482904638631e-01
4.198148154664472e+00 2.027507732610582e+08 4.082482904638631e-01
4.244211090425597e+00 1.965601773355780e+08 7.071067811865476e-01
4.412548824620623e+00 1.817901709782566e+08 3.535533905932738e-01
4.592970381602816e+00 1.657977664261507e+08 7.071067811865476e-01
4.623061393630906e+00 1.622430443616853e+08 4.082482904638631e-01
4.801341043440771e+00 1.472225040335432e+08 5.000000000000000e-01
4.835899320125142e+00 1.434492491707731e+08 5.000000000000000e-01
5.005201727240086e+00 1.301624575514839e+08 5.000000000000000e-01
5.038363066691700e+00 1.268246449055912e+08 5.000000000000000e-01
