<X> <Y> <dY>
7.215375318230078e-01 9.767959975768197e+07 7.071067811865476e-01
9.240188916466751e-01 9.759794092734151e+07 7.071067811865476e-01
1.127077654815027e+00 9.635141113209580e+07 7.071067811865476e-01
1.330449470449520e+00 9.439230639093408e+07 7.071067811865476e-01
1.534009834527848e+00 9.191537358804421e+07 7.071067811865476e-01
1.737692486319020e+00 8.902649572919263e+07 7.071067811865476e-01
1.952126614903663e+00 8.378617501464497e+07 5.000000000000000e-01
2.154948952919646e+00 8.066002773600723e+07 5.000000000000000e-01
2.357987544690259e+00 7.720249629896970e+07 5.000000000000000e-01
2.561191256654181e+00 7.348566696109989e+07 5.000000000000000e-01
2.756991037980877e+00 7.048174894443192e+07 7.071067811865476e-01
2.772056674940026e+00 6.865894695429099e+07 7.071067811865476e-01
2.960942475213655e+00 6.627524119995286e+07 7.071067811865476e-01
2.988910072109736e+00 6.328358416364799e+07 5.000000000000000e-01
3.171476930782477e+00 6.135377044190110e+07 5.000000000000000e-01
3.204146626144405e+00 5.822760645502071e+07 7.071067811865476e-01
3.375062810714292e+00 5.714591746593069e+07 5.000000000000000e-01
3.405779442505844e+00 5.448624780939448e+07 7.071067811865476e-01
3.578705047985907e+00 5.292806301791386e+07 5.000000000000000e-01
3.607687659115038e+00 5.065901248784703e+07 7.071067811865476e-01
3.791538872053524e+00 4.809204902606922e+07 4.082482904638631e-01
3.994804059188885e+00 4.405941994846839e+07 4.082482904638631e-01
4.198148154664472e+00 4.010889066422299e+07 4.082482904638631e-01
4.244211090425597e+00 3.753588787000331e+07 7.071067811865476e-01
4.412548824620623e+00 3.571997859296054e+07 3.535533905932738e-01
4.592970381602816e+00 3.313336737040643e+07 7.071067811865476e-01
4.623061393630906e+00 3.175889442673725e+07 4.082482904638631e-01
4.801341043440771e+00 2.933857678627524e+07 5.000000000000000e-01
4.835899320125142e+00 2.793870392293562e+07 5.000000000000000e-01
5.005201727240086e+00 2.594630264456936e+07 5.000000000000000e-01
5.038363066691700e+00 2.475296295367673e+07 5.000000000000000e-01
