<X> <Y> <dY>
1.332230167452915e+00 3.743198759953961e+08 7.071067811865476e-01
1.706087055011397e+00 3.561720645162181e+08 7.071067811865476e-01
2.081010046716440e+00 3.325288036533761e+08 7.071067811865476e-01
2.456511051235781e+00 3.051300612989861e+08 7.071067811865476e-01
2.832360187229678e+00 2.752448231600739e+08 7.071067811865476e-01
3.208435112420915e+00 2.439791242035004e+08 7.071067811865476e-01
3.604361315054009e+00 2.084291848582148e+08 5.000000000000000e-01
3.978847776840041e+00 1.782194388603706e+08 5.000000000000000e-01
4.353733524544044e+00 1.491572530760935e+08 5.000000000000000e-01
4.728924146344096e+00 1.219687477565554e+08 5.000000000000000e-01
5.104352743667557e+00 9.721213353368244e+07 5.000000000000000e-01
5.479970612370756e+00 7.527666451234998e+07 5.000000000000000e-01
5.544382800124874e+00 7.014214894898838e+07 7.071067811865476e-01
5.855741463502716e+00 5.638646219314775e+07 5.000000000000000e-01
5.916062031460829e+00 5.254573212732548e+07 7.071067811865476e-01
6.231637711376826e+00 4.061059077702522e+07 5.000000000000000e-01
6.288352188047024e+00 3.780006695594691e+07 7.071067811865476e-01
6.607638016136299e+00 2.787931760848933e+07 5.000000000000000e-01
6.661150837264579e+00 2.588002280325726e+07 7.071067811865476e-01
6.973560052266166e+00 1.828887387849701e+07 7.071067811865476e-01
7.014134154293416e+00 1.717865288312545e+07 5.000000000000000e-01
7.350241149005945e+00 1.089551502558405e+07 7.071067811865476e-01
7.388749798120157e+00 1.017095863153411e+07 5.000000000000000e-01
7.772625788525296e+00 5.229853444851295e+06 3.535533905932738e-01
8.147227829806772e+00 2.218086182267340e+06 3.535533905932738e-01
8.522023519064966e+00 6.052507682960527e+05 3.535533905932738e-01
8.896988567523895e+00 2.630698824579219e+04 3.535533905932738e-01
9.272102570629780e+00 1.459958390056568e+05 3.535533905932738e-01
9.647348264074010e+00 6.732450953799778e+05 3.535533905932738e-01
1.002271094396667e+01 1.370420249885957e+06 3.535533905932738e-01
1.012845453474220e+01 1.538786698259215e+06 7.071067811865476e-01
1.039817801053062e+01 2.057504829233218e+06 3.535533905932738e-01
1.050013752522934e+01 2.182168763177743e+06 7.071067811865476e-01
1.077373860575449e+01 2.611642150617051e+06 3.535533905932738e-01
1.087217360007511e+01 2.676073972497877e+06 7.071067811865476e-01
1.114938332324008e+01 2.962753185330573e+06 3.535533905932738e-01
1.124452771292163e+01 2.964864844693383e+06 7.071067811865476e-01
1.152510397404265e+01 3.086144767298716e+06 3.535533905932738e-01
1.161716928249762e+01 3.033565392590058e+06 7.071067811865476e-01
1.190089339631933e+01 2.993130055996304e+06 3.535533905932738e-01
1.201960388162952e+01 2.866008590317599e+06 5.000000000000000e-01
1.227674529953323e+01 2.720698742739969e+06 3.535533905932738e-01
1.239185602100990e+01 2.560434323981288e+06 5.000000000000000e-01
1.263957348951279e+01 2.341483777473470e+06 4.082482904638631e-01
1.274021572991877e+01 2.185573423884682e+06 4.082482904638631e-01
1.301591117235747e+01 1.872818976621410e+06 4.082482904638631e-01
1.311366866172006e+01 1.720921750401793e+06 4.082482904638631e-01
