<X> <Y>
1.332230167000000e+00 9.356823390044752e+07
1.706087055000000e+00 8.831586420521690e+07
2.081010047000000e+00 8.210606860623078e+07
2.456511051000000e+00 7.514882197948383e+07
2.832360187000000e+00 6.767120996601111e+07
3.208435112000000e+00 5.990652299499900e+07
3.604361315000000e+00 5.167650592165416e+07
3.978847777000000e+00 4.405991286517382e+07
4.353733525000000e+00 3.678870318004846e+07
4.728924146000000e+00 3.002227454876506e+07
5.104352744000000e+00 2.388497329978521e+07
5.479970612000000e+00 1.846343384307587e+07
5.544382800000000e+00 1.760992724853637e+07
5.855741464000000e+00 1.380615441912752e+07
5.916062031000000e+00 1.313116316567182e+07
6.231637711000000e+00 9.925175355682155e+06
6.288352188000000e+00 9.406201496048527e+06
6.607638016000000e+00 6.799596359827660e+06
6.661150837000000e+00 6.413684899226942e+06
6.973560052000000e+00 4.437229227437005e+06
7.014134154000000e+00 4.213849557843853e+06
7.350241149000000e+00 2.635788262722446e+06
7.388749798000000e+00 2.484380345849771e+06
7.772625789000000e+00 1.269832304017334e+06
8.147227830000000e+00 5.326891987894186e+05
8.522023518999999e+00 1.414373182201162e+05
8.896988567999999e+00 4.516852261869137e+03
9.272102571000000e+00 3.840618828389294e+04
9.647348264000000e+00 1.709997932917606e+05
1.002271094000000e+01 3.437393705001037e+05
1.012845453000000e+01 3.932266979653974e+05
1.039817801000000e+01 5.125163484358613e+05
1.050013753000000e+01 5.534275739042036e+05
1.077373861000000e+01 6.474511578037250e+05
1.087217360000000e+01 6.748444290108023e+05
1.114938332000000e+01 7.317252335599816e+05
1.124452771000000e+01 7.441392857954624e+05
1.152510397000000e+01 7.596909144562678e+05
1.161716928000000e+01 7.581615678483805e+05
1.190089340000000e+01 7.345106535044706e+05
1.201960388000000e+01 7.168962652436716e+05
1.227674530000000e+01 6.655803214779680e+05
1.239185602000000e+01 6.376759150802239e+05
1.263957349000000e+01 5.697962611657599e+05
1.274021573000000e+01 5.399105308465447e+05
1.301591117000000e+01 4.541382218300361e+05
1.311366866000000e+01 4.231002600310586e+05
