<X> <Y> <dY>
5.957911361584695e-01 4.614915000000000e+07 7.595158819932602e+03
1.146457256080338e+00 1.389462250000000e+07 2.946886333488280e+03
1.642770725313067e+00 3.570263333333334e+07 3.856954397218383e+03
2.111356541481975e+00 4.117503875000000e+07 3.587087900982495e+03
2.531453467957025e+00 2.052720000000000e+07 2.924551247627574e+03
2.967045462551614e+00 2.539192583333334e+07 2.299996640999962e+03
3.481255047941019e+00 1.942770000000000e+07 2.011824420768373e+03
3.917054881882524e+00 1.511907166666667e+07 1.774769449033373e+03
4.373304495169313e+00 1.404842021428571e+07 1.583870722892728e+03
4.824116326003108e+00 1.194228725000000e+07 1.366009656925053e+03
5.290711944844877e+00 6.778833300000000e+06 9.205184205109640e+02
5.758027193335509e+00 5.496725822222223e+06 8.737471842445666e+02
6.184647372743666e+00 3.959135155000000e+06 7.034855324560698e+02
6.642692920734209e+00 2.661058145454545e+06 5.499026923687318e+02
7.116421612582529e+00 1.460325288846154e+06 3.747210871545449e+02
7.577172929947642e+00 6.147929030769230e+05 2.431351521663104e+02
8.041017681686741e+00 3.173590407142857e+05 1.683319002304794e+02
8.517152697029138e+00 6.556398273333335e+04 7.391660995864042e+01
8.973457425313052e+00 3.599172242857143e+03 1.792636785689774e+01
9.404456653430374e+00 2.486903373666667e+04 4.552383417568819e+01
9.867823865522986e+00 9.768441922222226e+04 8.236285706412468e+01
1.035591503854761e+01 1.956596633421054e+05 1.134563628559762e+02
1.080774307161245e+01 2.280017322812500e+05 1.334639851588160e+02
1.123511072792162e+01 3.099380800000000e+05 1.427958793449403e+02
1.173197917564804e+01 2.559589372173912e+05 1.179441045804876e+02
1.220811860568566e+01 2.512795059473684e+05 1.285750615162436e+02
1.264090803216183e+01 2.073937339250000e+05 1.138512554621709e+02
1.308589124576037e+01 1.781992418181818e+05 1.006228449284138e+02
1.354142381937414e+01 1.774450461538462e+05 1.306216814645986e+02
1.401383662626797e+01 1.245104687500000e+05 1.394803238531783e+02
1.441474126575170e+01 6.901658749999999e+04 1.468594007673666e+02
1.484198548286163e+01 2.628855000000000e+04 1.281809024387018e+02
