<X> <Y> <dY>
1.332230167452915e+00 3.819869995076971e+08 7.071067811865476e-01
1.706087055011397e+00 3.605664048329690e+08 7.071067811865476e-01
2.081010046716440e+00 3.352597270540169e+08 7.071067811865476e-01
2.456511051235781e+00 3.069085628394045e+08 7.071067811865476e-01
2.832360187229678e+00 2.764333936660657e+08 7.071067811865476e-01
3.208435112420915e+00 2.447823429481601e+08 7.071067811865476e-01
3.604361315054009e+00 2.112429574721486e+08 5.000000000000000e-01
3.978847776840041e+00 1.801732285805787e+08 5.000000000000000e-01
4.353733524544044e+00 1.505048754622069e+08 5.000000000000000e-01
4.728924146344097e+00 1.228867537717310e+08 5.000000000000000e-01
5.104352743667557e+00 9.782601749410048e+07 5.000000000000000e-01
5.479970612370757e+00 7.567690907733563e+07 5.000000000000000e-01
5.544382800124874e+00 7.220106216814832e+07 7.071067811865476e-01
5.855741463502717e+00 5.663877970003253e+07 5.000000000000000e-01
5.916062031460829e+00 5.388468716483998e+07 7.071067811865476e-01
6.231637711376825e+00 4.076271753753566e+07 5.000000000000000e-01
6.288352188047024e+00 3.864148363651992e+07 7.071067811865476e-01
6.607638016136299e+00 2.796568948705093e+07 5.000000000000000e-01
6.661150837264579e+00 2.638553806632755e+07 7.071067811865476e-01
6.973560052266166e+00 1.828215695572032e+07 7.071067811865476e-01
7.014134154293416e+00 1.737002426519364e+07 5.000000000000000e-01
7.350241149005945e+00 1.088858060063201e+07 7.071067811865476e-01
7.388749798120158e+00 1.026937145001485e+07 5.000000000000000e-01
7.772625788525296e+00 5.281638234658941e+06 3.535533905932738e-01
8.147227829806772e+00 2.236219185584880e+06 3.535533905932738e-01
8.522023519064966e+00 6.087987606779424e+05 3.535533905932738e-01
8.896988567523897e+00 2.622760914326641e+04 3.535533905932738e-01
9.272102570629780e+00 1.476591700794004e+05 3.535533905932738e-01
9.647348264074010e+00 6.783823807993972e+05 3.535533905932738e-01
1.002271094396667e+01 1.378601871294390e+06 3.535533905932738e-01
1.012845453474220e+01 1.582141099122502e+06 7.071067811865476e-01
1.039817801053062e+01 2.067228055384578e+06 3.535533905932738e-01
1.050013752522934e+01 2.237682938382084e+06 7.071067811865476e-01
1.077373860575449e+01 2.621095445828528e+06 3.535533905932738e-01
1.087217360007511e+01 2.737586240540873e+06 7.071067811865476e-01
1.114938332324008e+01 2.970314951066334e+06 3.535533905932738e-01
1.124452771292163e+01 3.026266090924276e+06 7.071067811865476e-01
1.152510397404265e+01 3.090668273981990e+06 3.535533905932738e-01
1.161716928249762e+01 3.089811488535400e+06 7.071067811865476e-01
1.190089339631933e+01 2.994061633585147e+06 3.535533905932738e-01
1.201960388162952e+01 2.928300475943224e+06 5.000000000000000e-01
1.227674529953323e+01 2.718072141424717e+06 3.535533905932738e-01
1.239185602100990e+01 2.609812964742339e+06 5.000000000000000e-01
1.263957348951279e+01 2.330664624205164e+06 4.082482904638631e-01
1.274021572991878e+01 2.212878196969137e+06 4.082482904638631e-01
1.301591117235747e+01 1.861063566783169e+06 4.082482904638631e-01
1.311366866172006e+01 1.738106311503189e+06 4.082482904638631e-01
