<X> <Y>
1.332230167452915e+00 3.819585415501964e+08
1.706087055011397e+00 3.605635605063485e+08
2.081010046716440e+00 3.352654862688606e+08
2.456511051235781e+00 3.069180259585943e+08
2.832360187229678e+00 2.764446813010282e+08
3.208435112420915e+00 2.447944827288797e+08
3.604361315054009e+00 2.112386607966447e+08
3.978847776840041e+00 1.801744103013342e+08
4.353733524544044e+00 1.505085891224616e+08
4.728924146344097e+00 1.228912588425564e+08
5.104352743667557e+00 9.783023364853644e+07
5.479970612370757e+00 7.568016005432743e+07
5.544382800124874e+00 7.219185790580229e+07
5.855741463502717e+00 5.664066965732142e+07
5.916062031460829e+00 5.388007461642460e+07
6.231637711376825e+00 4.076306807578544e+07
6.288352188047024e+00 3.863881575261490e+07
6.607638016136299e+00 2.796450279544859e+07
6.661150837264579e+00 2.638330988660803e+07
6.973560052266166e+00 1.828056253988003e+07
7.014134154293416e+00 1.736419531634472e+07
7.350241149005945e+00 1.088561498777623e+07
7.388749798120158e+00 1.026344627062879e+07
7.772625788525296e+00 5.266578558680779e+06
8.147227829806772e+00 2.224096254433701e+06
8.522023519064966e+00 5.993699007039156e+05
8.896988567523897e+00 1.932583405883979e+04
9.272102570629780e+00 1.431584918495929e+05
9.647348264074010e+00 6.761674693525933e+05
1.002271094396667e+01 1.378542153210305e+06
1.012845453474220e+01 1.580624130057744e+06
1.039817801053062e+01 2.069157082409144e+06
1.050013752522934e+01 2.237210666804451e+06
1.077373860575449e+01 2.624796513994222e+06
1.087217360007511e+01 2.738244961541594e+06
1.114938332324008e+01 2.975513722696178e+06
1.124452771292163e+01 3.028036051787205e+06
1.152510397404265e+01 3.097032703367008e+06
1.161716928249762e+01 3.092568461361622e+06
1.190089339631933e+01 3.001208942991826e+06
1.201960388162952e+01 2.931284616823840e+06
1.227674529953323e+01 2.725582032506398e+06
1.239185602100990e+01 2.613103006686633e+06
1.263957348951279e+01 2.338481823000230e+06
1.274021572991878e+01 2.217241871329162e+06
1.301591117235747e+01 1.868437151751776e+06
1.311366866172006e+01 1.741947618370399e+06
