<X> <Y> <dY>
5.957911361584695e-01 1.025532000000000e+06 5.063427692778875e+02
1.146457256080338e+00 9.282149999999999e+04 1.077157718256709e+02
1.642770725313066e+00 1.056075483333333e+06 2.966585415554013e+02
2.111356541481975e+00 1.888358030000000e+06 3.435438500031692e+02
2.531453467957025e+00 4.714957966666666e+05 1.982203732941922e+02
2.967045462551614e+00 1.054280199000000e+06 2.095908910830812e+02
3.481255047941019e+00 6.900040056666667e+05 1.695587417468583e+02
3.917054881882523e+00 4.286395660000000e+05 1.336412433220623e+02
4.373304495169312e+00 4.737964237142857e+05 1.300819005355425e+02
4.824116326003109e+00 4.597617085375001e+05 1.198647295571006e+02
5.290711944844874e+00 2.298213699300000e+05 7.579930242587987e+01
5.758027193335508e+00 2.031279798188889e+05 7.511620253885326e+01
6.184647372743666e+00 1.304911969500000e+05 5.711637176633334e+01
6.642692920734209e+00 9.645301428727274e+04 4.682001667101776e+01
7.116421612582528e+00 5.686680373607692e+04 3.306950830508281e+01
7.577172929947642e+00 2.023198669746154e+04 1.972502641972567e+01
8.041017681686737e+00 1.227573311659286e+04 1.480572591733206e+01
8.517152697029138e+00 2.320188754673334e+03 6.218505654728385e+00
8.973457425313052e+00 1.523597460764286e+02 1.649457411200664e+00
9.404456653430376e+00 8.243213782186667e+02 3.706573840756148e+00
9.867823865522990e+00 3.593012641105555e+03 7.064202244322304e+00
1.035591503854760e+01 7.547933657700003e+03 9.965686958192308e+00
1.080774307161246e+01 7.197490395674998e+03 1.060475305853097e+01
1.123511072792162e+01 1.183446841486842e+04 1.247864935276736e+01
1.173197917564804e+01 9.287882784804353e+03 1.004764886234172e+01
1.220811860568565e+01 8.749778198342108e+03 1.072980244480305e+01
1.264090803216183e+01 7.189876859715000e+03 9.480161430399669e+00
1.308589124576037e+01 6.659830217472723e+03 8.699418879150336e+00
1.354142381937413e+01 6.918826230769229e+03 1.153491875098026e+01
1.401383662626797e+01 5.841246250000000e+03 1.351069743989924e+01
1.441474126575170e+01 3.451650000000001e+03 1.468768616903289e+01
1.484198548286163e+01 1.608747000000000e+03 1.418073957873848e+01
