<X> <Y>
5.957911360000000e-01 8.590885183222909e+07
1.146457256000000e+00 8.186143838055660e+07
1.642770725000000e+00 7.630937698201466e+07
2.111356541000000e+00 6.972059484268783e+07
2.531453468000000e+00 6.298787426272788e+07
2.967045463000000e+00 5.548262375692532e+07
3.481255048000000e+00 4.635026636707181e+07
3.917054882000000e+00 3.871768307215608e+07
4.373304495000000e+00 3.113166353912767e+07
4.824116326000000e+00 2.427677495242238e+07
5.290711945000000e+00 1.803648697684273e+07
5.758027193000000e+00 1.277190360320741e+07
6.184647373000000e+00 8.862263995137747e+06
6.642692921000000e+00 5.594503339676832e+06
7.116421613000000e+00 3.148097862413642e+06
7.577172930000000e+00 1.558867088713232e+06
8.041017682000000e+00 6.003876800184697e+05
8.517152697000000e+00 1.236813745647066e+05
8.973457424999999e+00 8.259031364482526e+01
9.404456653000000e+00 6.600947818785394e+04
9.867823866000000e+00 2.314326828331524e+05
1.035591504000000e+01 4.229115444213031e+05
1.080774307000000e+01 5.618483859131333e+05
1.123511073000000e+01 6.351429925462961e+05
1.173197918000000e+01 6.427014812994631e+05
1.220811861000000e+01 5.819742374424589e+05
1.264090803000000e+01 4.867013742239621e+05
1.308589125000000e+01 3.691882073128105e+05
1.354142382000000e+01 2.483350058221432e+05
1.401383663000000e+01 1.400080133274873e+05
1.441474127000000e+01 7.053004552644753e+04
1.484198548000000e+01 2.293231216880384e+04
