<X> <Y> <dY>
2.664463204324654e-01 5.200960000000000e+07 5.099490170595488e+03
7.993375470838336e-01 5.055300000000000e+07 5.027573967630909e+03
1.098584950711596e+00 3.825107000000000e+07 3.092372471097232e+03
1.332230187948764e+00 4.774420000000000e+07 4.885908308595240e+03
1.620727485557335e+00 4.091650000000000e+07 3.198300329862723e+03
1.865121414600133e+00 4.378160000000000e+07 4.678760519624829e+03
2.148154526122364e+00 3.879661000000000e+07 3.114346239582234e+03
2.437008783005838e+00 3.396786000000000e+07 2.379350751780830e+03
2.677745203356735e+00 3.472979000000000e+07 2.946599311070306e+03
2.930901039475744e+00 3.352870000000000e+07 4.094429142139353e+03
2.978959791756176e+00 2.893288000000000e+07 2.689464630739732e+03
3.252096564451330e+00 2.643190500000000e+07 1.817687576290271e+03
3.463804994049174e+00 2.789040000000000e+07 3.734327248648677e+03
3.504550633062676e+00 2.497825000000000e+07 2.498912263365803e+03
3.777339714696164e+00 2.231203500000000e+07 1.670031249707622e+03
4.020274337305420e+00 2.109690000000000e+07 1.875139994773724e+03
4.136352757647733e+00 1.574707000000000e+07 1.984128902062565e+03
4.304443818127686e+00 1.789326500000000e+07 1.495546095912794e+03
4.550410347720676e+00 1.636283333333333e+07 1.651405125609367e+03
4.653280888663396e+00 1.284648000000000e+07 1.792099327604360e+03
4.832804619111353e+00 1.362480500000000e+07 1.305028974774124e+03
5.081120732089324e+00 1.205714000000000e+07 1.417576570536256e+03
5.173445039526370e+00 9.791680000000000e+06 1.564583011540136e+03
5.405678347661731e+00 8.967843333333332e+06 8.644768809966972e+02
5.645730822292157e+00 7.808552000000000e+06 8.836601156553349e+02
5.867861569541327e+00 6.953190000000000e+06 1.318445106934680e+03
5.963679125175481e+00 5.652350000000000e+06 8.405615682387579e+02
6.174301814991536e+00 5.075484000000000e+06 7.124243117693276e+02
6.366799873075690e+00 3.912353500000000e+06 6.993169435241791e+02
6.488238885706030e+00 3.538829500000000e+06 6.650967504807102e+02
6.703552084615696e+00 2.999310400000000e+06 5.476596023078570e+02
6.918861349363456e+00 2.222582333333333e+06 4.303663491078786e+02
7.054532248618614e+00 1.777361000000000e+06 6.665885162527180e+02
7.233333761074404e+00 1.551052400000000e+06 3.938340259550970e+02
7.445988605196900e+00 1.079279666666667e+06 2.998999370160358e+02
7.634297124882645e+00 7.147185000000000e+05 2.988976622524840e+02
7.799835762894831e+00 5.871837142857143e+05 2.047967135418706e+02
8.015535859941449e+00 3.814206500000000e+05 2.183519664440877e+02
8.176655002479542e+00 2.275704800000000e+05 1.508543933732127e+02
8.339470527173377e+00 1.467764666666667e+05 1.105955343683560e+02
8.563563719264428e+00 5.655141750000000e+04 5.945135485209736e+01
8.773238779278511e+00 1.393724000000000e+04 3.733261308829051e+01
8.896975512802316e+00 3.103870500000000e+03 1.969730470140522e+01
9.090360879415186e+00 2.541249250000000e+03 1.260270122334890e+01
9.321134951957868e+00 2.220023714285714e+04 3.982124087079401e+01
9.423985056563629e+00 3.769658000000000e+04 6.864453729176124e+01
9.617828195530278e+00 7.329182500000001e+04 6.768115736672948e+01
9.861570365113149e+00 1.220020000000000e+05 8.232793504569933e+01
1.003679826944173e+01 1.520041500000000e+05 1.378423692120822e+02
1.019810751995524e+01 2.018381250000000e+05 1.123159953546244e+02
1.041477289752856e+01 2.438408000000000e+05 1.319742399106735e+02
1.059419622974469e+01 2.737576000000000e+05 1.510401712569651e+02
1.074397789286135e+01 2.890090750000000e+05 1.343989106633681e+02
1.094281708597977e+01 3.288841142857143e+05 1.532700963951533e+02
1.112161531846575e+01 3.423000000000000e+05 1.688934575405454e+02
1.126965453264373e+01 3.431049750000000e+05 1.464379081300330e+02
1.150653370720166e+01 3.505069636363637e+05 1.262225602289218e+02
1.172354977858724e+01 3.514172750000000e+05 1.482011460397658e+02
1.183506905920478e+01 3.518851000000000e+05 2.097275315737063e+02
1.203295581979743e+01 3.338028181818182e+05 1.231781448630431e+02
