<X> <Y> <dY>
7.215375318230078e-01 1.993461219544525e+06 7.071067811865476e-01
9.240188916466751e-01 1.204912850954831e+06 7.071067811865476e-01
1.127077654815027e+00 7.962926539842610e+05 7.071067811865476e-01
1.330449470449520e+00 5.585343573428041e+05 7.071067811865476e-01
1.534009834527848e+00 4.085127715024175e+05 7.071067811865476e-01
1.737692486319020e+00 3.080501582324999e+05 7.071067811865476e-01
1.952126614903663e+00 1.138200379679138e+06 5.000000000000000e-01
2.154948952919646e+00 8.998179227271968e+05 5.000000000000000e-01
2.357987544690259e+00 7.196931802660841e+05 5.000000000000000e-01
2.561191256654181e+00 5.808869444711199e+05 5.000000000000000e-01
2.756991037980877e+00 9.668278318852093e+04 7.071067811865476e-01
2.772056674940026e+00 8.476413204233433e+05 7.071067811865476e-01
2.960942475213655e+00 7.880528085606743e+04 7.071067811865476e-01
2.988910072109736e+00 1.265313675954572e+06 5.000000000000000e-01
3.171476930782477e+00 3.165299790659032e+05 5.000000000000000e-01
3.204146626144405e+00 1.514766036811151e+06 7.071067811865476e-01
3.375062810714292e+00 2.603662686372283e+05 5.000000000000000e-01
3.405779442505844e+00 1.250832135201893e+06 7.071067811865476e-01
3.578705047985907e+00 2.145114297776571e+05 5.000000000000000e-01
3.607687659115038e+00 1.033857397711164e+06 7.071067811865476e-01
3.791538872053524e+00 4.027715296052559e+05 4.082482904638631e-01
3.994804059188885e+00 3.325082496825465e+05 4.082482904638631e-01
4.198148154664472e+00 2.741514610784921e+05 4.082482904638631e-01
4.244211090425597e+00 1.094145452486712e+06 7.071067811865476e-01
4.412548824620623e+00 3.948747282150972e+05 3.535533905932738e-01
4.592970381602816e+00 1.636215672612660e+04 7.071067811865476e-01
4.623061393630906e+00 4.271595230322371e+05 4.082482904638631e-01
4.801341043440771e+00 6.607999861694116e+04 5.000000000000000e-01
4.835899320125142e+00 4.651814433656875e+05 5.000000000000000e-01
5.005201727240086e+00 5.377630743456501e+04 5.000000000000000e-01
5.038363066691700e+00 3.792641719832409e+05 5.000000000000000e-01
