<X> <Y> <dY>
7.215375318230078e-01 4.068663258012516e+08 7.071067811865476e-01
9.240188916466751e-01 4.001002249414477e+08 7.071067811865476e-01
1.127077654815027e+00 3.918012035671514e+08 7.071067811865476e-01
1.330449470449520e+00 3.820434972059129e+08 7.071067811865476e-01
1.534009834527848e+00 3.709249937722905e+08 7.071067811865476e-01
1.737692486319020e+00 3.585586360543232e+08 7.071067811865476e-01
1.952126614903662e+00 3.443586352079550e+08 5.000000000000000e-01
2.154948952919646e+00 3.298979648482081e+08 5.000000000000000e-01
2.357987544690259e+00 3.145954127066306e+08 5.000000000000000e-01
2.561191256654181e+00 2.985964217882662e+08 5.000000000000000e-01
2.756991037980877e+00 2.826660399981046e+08 7.071067811865476e-01
2.772056674940026e+00 2.814346656962508e+08 7.071067811865476e-01
2.960942475213655e+00 2.656935289221249e+08 7.071067811865476e-01
2.988910072109736e+00 2.633745958967230e+08 5.000000000000000e-01
3.171476930782476e+00 2.479197116431811e+08 5.000000000000000e-01
3.204146626144405e+00 2.451856935367492e+08 7.071067811865476e-01
3.375062810714292e+00 2.306326485946350e+08 5.000000000000000e-01
3.405779442505844e+00 2.280526540901514e+08 7.071067811865476e-01
3.578705047985907e+00 2.133895228232375e+08 5.000000000000000e-01
3.607687659115038e+00 2.109675472647353e+08 7.071067811865476e-01
3.791538872053525e+00 1.955724703560185e+08 4.082482904638631e-01
3.994804059188885e+00 1.788709205880515e+08 4.082482904638631e-01
4.198148154664472e+00 1.625955336050934e+08 4.082482904638631e-01
4.244211090425596e+00 1.590083992613239e+08 7.071067811865476e-01
4.412548824620623e+00 1.460284947446603e+08 3.535533905932738e-01
4.592970381602816e+00 1.326141689017824e+08 7.071067811865476e-01
4.623061393630906e+00 1.304429177634105e+08 4.082482904638631e-01
4.801341043440771e+00 1.178348364219770e+08 5.000000000000000e-01
4.835899320125142e+00 1.154711005767359e+08 5.000000000000000e-01
5.005201727240086e+00 1.041682201282454e+08 5.000000000000000e-01
5.038363066691700e+00 1.020312175644317e+08 5.000000000000000e-01
