<X> <Y> <dY>
7.215375318230078e-01 4.068256432369242e+04 7.071067811865476e-01
9.240188916466751e-01 1.487527326249948e+04 7.071067811865476e-01
1.127077654815027e+00 6.580801914223968e+03 7.071067811865476e-01
1.330449470449520e+00 3.304845954670771e+03 7.071067811865476e-01
1.534009834527848e+00 1.815545355093080e+03 7.071067811865476e-01
1.737692486319020e+00 1.065866736586103e+03 7.071067811865476e-01
1.952126614903662e+00 2.574129534209007e+04 5.000000000000000e-01
2.154948952919646e+00 1.667012463735001e+04 5.000000000000000e-01
2.357987544690259e+00 1.112089403187077e+04 5.000000000000000e-01
2.561191256654181e+00 7.600288151448201e+03 5.000000000000000e-01
2.756991037980877e+00 1.326073875918051e+02 7.071067811865476e-01
2.772056674940026e+00 1.046342215474798e+04 7.071067811865476e-01
2.960942475213655e+00 9.369073578890851e+01 7.071067811865476e-01
2.988910072109736e+00 3.101805563418270e+04 5.000000000000000e-01
3.171476930782476e+00 2.695399542271464e+03 5.000000000000000e-01
3.204146626144405e+00 3.939957419249832e+04 7.071067811865476e-01
3.375062810714292e+00 1.956822305382018e+03 5.000000000000000e-01
3.405779442505844e+00 2.870979543531927e+04 7.071067811865476e-01
3.578705047985907e+00 1.433369490752816e+03 5.000000000000000e-01
3.607687659115038e+00 2.109464526194713e+04 7.071067811865476e-01
3.791538872053525e+00 5.905962202983465e+03 4.082482904638631e-01
3.994804059188885e+00 4.390056983642292e+03 4.082482904638631e-01
4.198148154664472e+00 3.276067632582362e+03 4.082482904638631e-01
4.244211090425596e+00 3.188400991668834e+04 7.071067811865476e-01
4.412548824620623e+00 7.817416139366313e+03 3.535533905932738e-01
4.592970381602816e+00 8.077017578535347e+00 7.071067811865476e-01
4.623061393630906e+00 7.821082258182139e+03 4.082482904638631e-01
4.801341043440771e+00 2.449258460511518e+02 5.000000000000000e-01
4.835899320125142e+00 8.565945916788287e+03 5.000000000000000e-01
5.005201727240086e+00 1.833826321116824e+02 5.000000000000000e-01
5.038363066691700e+00 6.426240148778679e+03 5.000000000000000e-01
