<X> <Y> <dY>
2.269993752066970e-03 9.184661666666668e+04 8.748648308294385e+01
3.767845100041122e-03 7.939481666666667e+04 8.134024048539703e+01
5.043775728336201e-03 6.081953750000000e+04 6.165404361232116e+01
6.290749917642352e-03 4.807713333333332e+04 4.475727749639034e+01
7.816466587583152e-03 3.016999444444444e+04 2.894918653839116e+01
9.312627388573538e-03 1.998228333333333e+04 2.355978408063040e+01
1.078555974577683e-02 1.214352636363637e+04 1.661292375041763e+01
1.215271167972377e-02 8.487347272727273e+03 1.388863766531286e+01
1.348715615358537e-02 6.453167083333333e+03 1.159486873158889e+01
1.485681755568153e-02 5.907617999999999e+03 9.922716361964600e+00
1.638222925081683e-02 5.110162833333331e+03 8.424635528988555e+00
1.784158626282271e-02 5.202039000000000e+03 8.746460628700719e+00
1.926278694164597e-02 4.308409552631579e+03 7.529249589217461e+00
2.053461156225367e-02 2.957469285294118e+03 6.594861285271459e+00
2.193917909285363e-02 2.488870308695651e+03 5.201243902952081e+00
2.342233616417205e-02 1.556167100000000e+03 4.026173612542476e+00
2.489309261522595e-02 7.852961820000005e+02 2.802313654821674e+00
2.628144274216837e-02 2.871871800000001e+02 1.694659788866190e+00
2.768889255443039e-02 3.836543537037037e+01 5.960163694804150e-01
2.903666945708383e-02 8.594363481481484e+00 2.820947352279852e-01
3.044925668382786e-02 9.435460683333334e+01 8.867290399427425e-01
3.187547820390070e-02 2.302073965625000e+02 1.341079895324858e+00
3.334237986485959e-02 3.565577999999999e+02 1.619181438076587e+00
3.476317062620368e-02 4.589624138235294e+02 1.837042087448016e+00
3.614048037551115e-02 4.776476818181818e+02 1.902246840995441e+00
3.749005998646608e-02 5.198029324324326e+02 1.874081635333641e+00
3.894526530771556e-02 5.576434358974360e+02 1.890671153214897e+00
4.039402126922959e-02 5.967481585365855e+02 1.907539851158991e+00
4.185752692571019e-02 6.402843797619053e+02 1.952233732472067e+00
4.324672819658671e-02 6.902353487804877e+02 2.051524342217340e+00
4.459590185769292e-02 5.770610768292686e+02 1.875810518847117e+00
4.598766826528920e-02 6.075935170212762e+02 1.797743143412774e+00
4.745221662712551e-02 5.512384680851061e+02 1.712343280738704e+00
4.888672864066949e-02 4.459277530612249e+02 1.508357251201169e+00
5.031714725311345e-02 3.273973729591838e+02 1.292437526534972e+00
5.168415701482918e-02 2.012424586734695e+02 1.013285368556137e+00
5.306281103112133e-02 1.037572615294118e+02 7.131718075646009e-01
5.449275721469190e-02 5.060831906249999e+01 4.753209398025003e-01
5.593810175212904e-02 1.117487041666667e+01 2.274544156271133e-01
5.735014724714404e-02 1.109477469473684e+00 6.975764654916020e-02
5.876842569270735e-02 1.202791654877194e+01 2.296824328301015e-01
6.013332737228610e-02 2.582815493859651e+01 3.365729955145448e-01
6.154874472735909e-02 5.332885775806448e+01 4.637194375550684e-01
6.299084892420269e-02 7.475102482539681e+01 5.446384588829840e-01
6.442037729782139e-02 9.407386373015878e+01 6.109901660879540e-01
6.584064910839582e-02 1.167238160769230e+02 6.700281741404698e-01
6.723834510665287e-02 1.445617289062500e+02 7.514614118769100e-01
6.861390800738923e-02 1.527789831343283e+02 7.550303520990249e-01
7.003990738107448e-02 1.877912690714284e+02 8.189524429577884e-01
7.148567119795486e-02 2.037992050000000e+02 8.412111081483781e-01
7.291357984187531e-02 2.144218466197184e+02 8.689111014264388e-01
7.431984591568942e-02 2.098360198611111e+02 8.535791065767799e-01
7.567620902842496e-02 1.511901046571429e+02 7.348228762700546e-01
7.706954741744566e-02 1.532281426153847e+02 7.007965765584020e-01
7.852097388670778e-02 1.139464301329114e+02 6.004914393853056e-01
7.996973652067489e-02 7.418151131874995e+01 4.814740105873770e-01
8.139492092499978e-02 4.067130349374997e+01 3.565078167697991e-01
8.279695570568028e-02 1.745052978481011e+01 2.349961606527881e-01
8.416025719593341e-02 4.443496476249996e+00 1.178385611261493e-01
8.557962055448307e-02 4.687955799999999e-01 3.670304804280135e-02
8.701895995350455e-02 2.331036959069766e+00 8.231810390098870e-02
8.845923912890795e-02 8.287454094382019e+00 1.525757694840742e-01
8.986881572763598e-02 1.672598965116281e+01 2.205041109354353e-01
9.124079381546658e-02 2.508716449418602e+01 2.700514835400255e-01
9.263920467367487e-02 3.926988349462367e+01 3.249064526021863e-01
9.408380450213449e-02 5.386488494680856e+01 3.784939533610462e-01
9.550588286323317e-02 6.968164800531909e+01 4.304921972917048e-01
9.693284870336492e-02 8.407928777604168e+01 4.679278561738358e-01
9.832857601636200e-02 1.021017648617021e+02 5.211019544893417e-01
9.971395073999734e-02 8.861913494791668e+01 4.803946265938033e-01
1.008475192921575e-01 1.385683394000000e+01 3.722476855535841e-01
