<X> <Y> <dY>
2.269993752066970e-03 3.999446666666667e+04 5.773103344148814e+01
3.767845100041122e-03 3.379781666666667e+04 5.307056361319543e+01
5.043775728336201e-03 2.511020000000000e+04 3.961549570559480e+01
6.290749917642352e-03 1.885070833333333e+04 2.802581275459385e+01
7.816466587583152e-03 1.052284333333333e+04 1.709681852578730e+01
9.312627388573538e-03 5.690568333333333e+03 1.257264262566119e+01
1.078555974577683e-02 2.411853409090908e+03 7.403705167455789e+00
1.215271167972377e-02 1.087651545454545e+03 4.971856122796106e+00
1.348715615358537e-02 8.526662916666669e+02 4.214721945323189e+00
1.485681755568153e-02 1.025406266666666e+03 4.134017954054438e+00
1.638222925081683e-02 1.316985944444445e+03 4.276852984452153e+00
1.784158626282271e-02 1.688254161764706e+03 4.982696768294765e+00
1.926278694164597e-02 1.597566926315790e+03 4.584824691471153e+00
2.053461156225367e-02 1.159610708823530e+03 4.129539763601938e+00
2.193917909285363e-02 1.016025610869565e+03 3.323214804957178e+00
2.342233616417205e-02 6.506946191666667e+02 2.603472479142574e+00
2.489309261522595e-02 3.291441252000000e+02 1.814232965194933e+00
2.628144274216837e-02 1.169662015999999e+02 1.081509138195327e+00
2.768889255443039e-02 1.411770764814814e+01 3.615515388718888e-01
2.903666945708383e-02 3.335421262962961e+00 1.757371053950190e-01
3.044925668382786e-02 3.576672405000000e+01 5.459450830898653e-01
3.187547820390070e-02 8.036372046875000e+01 7.923645412069557e-01
3.334237986485959e-02 1.052840983823529e+02 8.798566827746344e-01
3.476317062620368e-02 1.057070672941177e+02 8.816222817912813e-01
3.614048037551115e-02 7.463802418181820e+01 7.519571644282581e-01
3.749005998646608e-02 6.202021258108112e+01 6.473449547287059e-01
3.894526530771556e-02 5.078816504487182e+01 5.705831758333312e-01
4.039402126922959e-02 5.670623810109757e+01 5.880218911901900e-01
4.185752692571019e-02 8.513850390476192e+01 7.118825808775744e-01
4.324672819658671e-02 1.291570284146341e+02 8.874361138621717e-01
4.459590185769292e-02 1.270999324390244e+02 8.803406091069704e-01
4.598766826528920e-02 1.790092351063830e+02 9.757954613958606e-01
4.745221662712551e-02 1.882509220425531e+02 1.000667123331085e+00
4.888672864066949e-02 1.642853283979592e+02 9.155274168532562e-01
5.031714725311345e-02 1.283173642142857e+02 8.091232475122211e-01
5.168415701482918e-02 7.757563645918363e+01 6.291216603863384e-01
5.306281103112133e-02 3.999169003823530e+01 4.427614439693900e-01
5.449275721469190e-02 1.976246410892857e+01 2.970274165806482e-01
5.593810175212904e-02 4.153170612037039e+00 1.386637722059864e-01
5.735014724714404e-02 3.913392121578947e-01 4.142945876214291e-02
5.876842569270735e-02 3.810222642605263e+00 1.292729779128033e-01
6.013332737228610e-02 5.764976365789472e+00 1.590125279985201e-01
6.154874472735909e-02 9.972367707096780e+00 2.005272054092941e-01
6.299084892420269e-02 1.007184776444445e+01 1.999191082885940e-01
6.442037729782139e-02 9.051507555555554e+00 1.895222434861251e-01
6.584064910839582e-02 9.640345029923074e+00 1.925571346771881e-01
6.723834510665287e-02 1.437228311796874e+01 2.369424633314286e-01
6.861390800738923e-02 2.076894759850745e+01 2.783811651832055e-01
7.003990738107448e-02 3.867027153107139e+01 3.716289986141679e-01
7.148567119795486e-02 5.416621991527777e+01 4.336786281148789e-01
7.291357984187531e-02 6.880584935211267e+01 4.922134876626365e-01
7.431984591568942e-02 7.401902112152770e+01 5.069620202789401e-01
7.567620902842496e-02 5.342438348857144e+01 4.368081610982570e-01
7.706954741744566e-02 5.961625725641034e+01 4.371244074822404e-01
7.852097388670778e-02 4.517458970886077e+01 3.780972922011113e-01
7.996973652067489e-02 2.914994208437499e+01 3.018171118635785e-01
8.139492092499978e-02 1.544591046437500e+01 2.197008652717869e-01
8.279695570568028e-02 5.926065105063290e+00 1.369429464618143e-01
8.416025719593341e-02 1.170069530875000e+00 6.046872980296819e-02
8.557962055448307e-02 1.126849301494252e-01 1.799464560763355e-02
8.701895995350455e-02 4.833768710988371e-01 3.748553484961547e-02
8.845923912890795e-02 1.300319743956741e+00 6.043660770129544e-02
8.986881572763598e-02 1.788757992500000e+00 7.211017879033735e-02
9.124079381546658e-02 1.565913820277325e+00 6.746906742312149e-02
9.263920467367487e-02 3.061613794139783e+00 9.072014444379287e-02
9.408380450213449e-02 6.152622746808514e+00 1.279193432174023e-01
9.550588286323317e-02 1.206245594627661e+01 1.791116965949422e-01
9.693284870336492e-02 2.018929337390625e+01 2.292951914626229e-01
9.832857601636200e-02 2.958917064734042e+01 2.805255831211831e-01
9.971395073999734e-02 2.639751509739581e+01 2.621898718476140e-01
1.008475192921575e-01 2.849075240000000e+00 1.687920389117923e-01
